,House_age,Remodeled,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,TotalSF,OverallQual,Neighborhood,BsmtQual,HeatingQC,KitchenQual,GarageFinish,GarageType,SaleType,SalePrice
43,33,28,1980,1975,5,1,938,938.0,308.0,1.0,938,5,CollgCr,Gd,TA,TA,Unf,Detchd,WD,130250.0
44,47,47,1959,1959,6,1,1150,1150.0,300.0,1.0,1150,5,NAmes,TA,Ex,TA,RFn,Attchd,WD,141000.0
45,5,5,2005,2005,6,2,1752,1752.0,576.0,2.0,1752,9,NridgHt,Ex,Ex,Ex,RFn,Attchd,WD,319900.0
46,6,6,2003,2003,6,1,1518,1434.0,670.0,2.0,2149,7,Mitchel,Ex,Ex,Gd,RFn,Attchd,WD,239686.0
47,1,1,2006,2006,7,2,1656,1656.0,826.0,3.0,1656,8,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,249700.0
48,89,1,2008,1920,8,2,736,736.0,0.0,0.0,1452,4,OldTown,TA,Gd,TA,Unf,Unbuilt,New,113000.0
49,41,41,1966,1966,6,1,955,955.0,386.0,1.0,955,5,Sawyer,TA,Ex,TA,Unf,Attchd,WD,127000.0
50,10,10,1997,1997,6,2,794,794.0,388.0,2.0,1470,6,Gilbert,Gd,Gd,TA,Fin,Attchd,WD,177000.0
51,72,56,1950,1934,6,1,816,816.0,528.0,2.0,816,6,BrkSide,TA,TA,TA,Unf,Detchd,WD,114500.0
52,47,47,1963,1963,5,1,816,816.0,516.0,2.0,816,5,IDOTRR,Gd,TA,TA,Unf,CarPort,WD,110000.0
53,25,19,1987,1981,5,0,1842,1842.0,894.0,3.0,1842,9,Veenker,Ex,Gd,Gd,Fin,Attchd,WD,385000.0
54,52,52,1955,1955,6,1,1360,384.0,572.0,2.0,1360,5,NAmes,TA,TA,TA,Unf,Detchd,WD,130000.0
55,44,44,1964,1964,7,2,1425,1425.0,576.0,2.0,1425,6,NAmes,TA,Gd,TA,RFn,Attchd,WD,180500.0
56,10,9,2000,1999,7,2,983,970.0,480.0,2.0,1739,8,Somerst,Gd,Ex,Gd,Fin,Attchd,WD,172500.0
57,2,2,2004,2004,7,2,860,860.0,565.0,2.0,1720,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,196500.0
58,0,0,2006,2006,10,3,1426,1410.0,641.0,3.0,2945,10,StoneBr,Ex,Ex,Gd,Fin,BuiltIn,New,438780.0
59,36,36,1972,1972,4,1,780,780.0,352.0,1.0,780,5,CollgCr,TA,Ex,TA,Unf,Detchd,WD,124900.0
60,2,2,2004,2004,5,1,1158,1158.0,576.0,2.0,1158,6,SawyerW,Gd,Ex,Gd,Unf,Detchd,New,158000.0
61,87,11,1996,1920,6,1,581,530.0,288.0,1.0,1111,5,IDOTRR,TA,TA,Fa,Unf,Detchd,WD,101000.0
62,1,1,2006,2006,6,2,1370,1370.0,484.0,2.0,1370,8,NridgHt,Gd,Ex,Gd,RFn,Attchd,WD,202500.0
63,89,60,1950,1921,9,2,902,576.0,480.0,2.0,1710,7,OldTown,TA,Gd,TA,Unf,Detchd,WD,140000.0
64,12,11,1998,1997,8,2,1057,1057.0,645.0,2.0,2034,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,219500.0
65,3,2,2005,2004,9,2,1143,1143.0,852.0,3.0,2473,8,NridgHt,Ex,Ex,Gd,RFn,BuiltIn,WD,317000.0
66,40,21,1989,1970,7,2,2207,1947.0,576.0,2.0,2207,7,NAmes,Gd,TA,TA,RFn,Attchd,WD,180000.0
67,4,4,2003,2003,7,2,1479,1453.0,558.0,2.0,1479,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,226000.0
68,65,60,1950,1945,4,1,747,747.0,220.0,1.0,747,4,OldTown,TA,TA,TA,Unf,Attchd,WD,80000.0
69,53,53,1953,1953,7,2,1304,1304.0,667.0,2.0,2287,7,ClearCr,TA,TA,TA,Fin,Attchd,WD,225000.0
70,34,34,1973,1973,8,2,2223,2223.0,516.0,2.0,2223,7,NAmes,Gd,Ex,TA,Fin,Attchd,WD,244000.0
71,25,1,2006,1982,4,1,845,845.0,360.0,2.0,845,4,Mitchel,TA,TA,TA,Unf,Detchd,WD,129500.0
72,11,11,1998,1998,7,2,885,832.0,427.0,2.0,1718,7,Gilbert,Gd,Gd,TA,Fin,Attchd,WD,185000.0
73,56,7,2003,1954,6,1,1086,1086.0,490.0,2.0,1086,5,NAmes,TA,Gd,TA,Unf,Attchd,WD,144900.0
74,95,60,1950,1915,8,2,840,840.0,379.0,1.0,1605,3,OldTown,Fa,Gd,TA,Unf,Detchd,WD,107400.0
75,36,36,1973,1973,5,1,526,462.0,297.0,1.0,988,4,MeadowV,Gd,TA,TA,Unf,BuiltIn,WD,91000.0
76,52,52,1956,1956,4,1,952,952.0,283.0,1.0,952,4,NAmes,TA,Ex,TA,Unf,Detchd,WD,135750.0
77,60,7,2001,1948,6,1,1072,672.0,240.0,1.0,1285,5,BrkSide,TA,TA,TA,Unf,Detchd,WD,127000.0
78,42,42,1968,1968,8,2,1768,1768.0,0.0,0.0,1768,4,Sawyer,TA,TA,TA,Unf,Unbuilt,WD,136500.0
79,99,28,1981,1910,5,1,682,440.0,440.0,2.0,1230,5,OldTown,TA,Gd,TA,Unf,Detchd,WD,110000.0
80,41,41,1968,1968,8,2,1182,896.0,509.0,1.0,2142,6,NAmes,Gd,TA,Gd,Fin,Attchd,WD,193500.0
81,8,8,1998,1998,5,2,1337,1237.0,405.0,2.0,1337,6,Mitchel,Ex,Ex,TA,Fin,Attchd,WD,153500.0
82,1,1,2007,2007,6,2,1563,1563.0,758.0,3.0,1563,8,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,245000.0
83,47,47,1960,1960,6,1,1065,1065.0,461.0,2.0,1065,5,NAmes,TA,Gd,TA,Unf,Detchd,COD,126500.0
84,14,13,1996,1995,7,2,804,384.0,400.0,2.0,1474,7,Gilbert,Gd,Gd,TA,Fin,BuiltIn,WD,168500.0
85,15,14,1992,1991,9,2,1301,1288.0,462.0,2.0,2417,8,NoRidge,Gd,Ex,Gd,Unf,Attchd,WD,260000.0
86,4,4,2005,2005,6,2,684,684.0,400.0,2.0,1560,6,Gilbert,Gd,Ex,Gd,Fin,BuiltIn,WD,174000.0
87,0,0,2009,2009,4,2,612,612.0,528.0,2.0,1224,6,Somerst,Gd,Ex,Gd,RFn,Detchd,New,164500.0
88,94,27,1982,1915,6,1,1013,1013.0,0.0,0.0,1013,3,IDOTRR,TA,TA,Fa,Unf,Unbuilt,ConLD,85000.0
89,13,12,1995,1994,5,1,990,990.0,0.0,0.0,990,4,CollgCr,Gd,Ex,TA,Unf,Unbuilt,WD,123600.0
90,56,56,1950,1950,4,1,1040,0.0,420.0,2.0,1040,4,NAmes,None,TA,TA,Unf,Detchd,WD,109900.0
91,45,45,1961,1961,6,1,1235,1235.0,480.0,2.0,1235,5,NAmes,TA,TA,TA,Unf,Attchd,WD,98600.0
92,88,3,2006,1921,5,1,964,876.0,432.0,2.0,964,5,Crawfor,Gd,Ex,TA,Unf,Detchd,WD,163500.0
93,97,9,1998,1910,9,2,1260,1214.0,506.0,2.0,2291,6,OldTown,TA,Ex,TA,Unf,Detchd,WD,133900.0
94,10,10,1997,1997,7,2,905,824.0,684.0,2.0,1786,6,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,204750.0
95,16,16,1993,1993,6,2,680,680.0,420.0,2.0,1470,6,Gilbert,Gd,Gd,TA,Fin,BuiltIn,WD,185000.0
96,7,7,1999,1999,6,2,1588,1588.0,472.0,2.0,1588,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,214000.0
97,42,42,1965,1965,6,1,960,960.0,432.0,1.0,960,4,Edwards,TA,TA,TA,Fin,Attchd,WD,94750.0
98,90,60,1950,1920,5,1,835,458.0,366.0,1.0,835,5,Edwards,TA,Fa,TA,Unf,Basment,COD,83000.0
99,51,51,1959,1959,6,1,1225,950.0,0.0,0.0,1225,4,NAmes,TA,Fa,TA,Unf,Unbuilt,WD,128950.0
100,33,9,2001,1977,6,2,1610,1610.0,480.0,2.0,1610,6,NWAmes,TA,Gd,Gd,RFn,Attchd,WD,205000.0
101,25,25,1985,1985,7,2,977,741.0,476.0,2.0,1732,6,SawyerW,Gd,TA,Gd,Fin,Attchd,WD,178000.0
102,30,30,1979,1979,8,2,1535,0.0,410.0,2.0,1535,5,SawyerW,None,TA,TA,Unf,Attchd,WD,118964.0
103,1,1,2009,2009,6,2,1226,1226.0,740.0,3.0,1226,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,198900.0
104,76,57,1950,1931,7,1,1226,1040.0,240.0,1.0,1818,7,IDOTRR,TA,Ex,TA,Unf,Detchd,WD,169500.0
105,5,4,2004,2003,9,2,1053,1053.0,648.0,2.0,1992,8,Somerst,Ex,Ex,Gd,RFn,Attchd,WD,250000.0
106,122,12,1995,1885,6,1,1047,641.0,273.0,1.0,1047,4,OldTown,Fa,Gd,TA,Unf,Detchd,WD,100000.0
107,60,58,1950,1948,5,1,789,789.0,250.0,1.0,789,5,OldTown,TA,Ex,TA,Unf,Detchd,WD,115000.0
108,88,2,2005,1919,7,2,997,793.0,0.0,0.0,1517,5,IDOTRR,TA,TA,Fa,Unf,Unbuilt,WD,115000.0
109,33,33,1977,1977,7,2,1844,1844.0,546.0,2.0,1844,6,NWAmes,Gd,Ex,TA,RFn,Attchd,COD,190000.0
110,52,34,1972,1954,7,2,1216,994.0,325.0,1.0,1855,6,Edwards,TA,Gd,TA,Unf,Attchd,WD,136900.0
111,10,10,2000,2000,7,2,774,384.0,400.0,2.0,1430,7,Gilbert,Gd,Ex,TA,Fin,BuiltIn,WD,180000.0
112,0,0,2007,2007,10,2,1282,1264.0,792.0,3.0,2696,7,CollgCr,Ex,Ex,Ex,Fin,BuiltIn,New,383970.0
113,54,54,1953,1953,7,2,2259,1809.0,450.0,2.0,2259,6,Crawfor,Gd,TA,Gd,Unf,Basment,COD,217000.0
114,62,5,2002,1945,9,2,1436,1028.0,180.0,1.0,2320,6,Crawfor,TA,Ex,Gd,Unf,Detchd,WD,259500.0
115,8,8,1999,1999,5,2,729,729.0,440.0,2.0,1458,6,Somerst,Gd,Gd,TA,Unf,Detchd,WD,176000.0
116,47,47,1962,1962,6,1,1092,1092.0,288.0,1.0,1092,5,Sawyer,TA,TA,TA,Unf,Attchd,WD,139000.0
117,1,0,2007,2006,5,1,1125,1125.0,430.0,2.0,1125,5,Edwards,Gd,Gd,TA,Unf,Attchd,New,155000.0
118,20,20,1990,1990,11,3,1699,1673.0,594.0,3.0,3222,7,SawyerW,Gd,Gd,Gd,Unf,Attchd,WD,320000.0
119,1,0,2006,2005,8,2,728,728.0,390.0,2.0,1456,6,CollgCr,Gd,Ex,Gd,Fin,Attchd,New,163990.0
120,37,37,1969,1969,4,1,988,938.0,540.0,2.0,988,6,ClearCr,TA,Ex,TA,Unf,Attchd,WD,180000.0
121,68,57,1950,1939,4,1,772,732.0,264.0,1.0,1123,4,IDOTRR,TA,Gd,TA,Unf,Detchd,WD,100000.0
122,50,50,1958,1958,5,1,1080,1080.0,288.0,1.0,1080,6,NAmes,TA,Gd,TA,Unf,Attchd,WD,136000.0
123,15,15,1993,1993,5,2,1199,1199.0,530.0,2.0,1199,6,SawyerW,Gd,Ex,Gd,RFn,Attchd,WD,153900.0
124,30,11,1998,1979,7,2,1586,1362.0,435.0,2.0,1586,6,NWAmes,Gd,TA,TA,Unf,Attchd,WD,181000.0
125,71,24,1982,1935,5,1,520,520.0,0.0,0.0,520,6,IDOTRR,TA,Gd,TA,Unf,Unbuilt,WD,84500.0
126,31,31,1976,1976,5,2,958,1078.0,440.0,2.0,958,6,NPkVill,Gd,TA,TA,RFn,Attchd,WD,128000.0
127,77,57,1950,1930,5,1,840,672.0,0.0,0.0,840,5,OldTown,TA,Ex,TA,Unf,Unbuilt,WD,87000.0
128,40,40,1966,1966,6,1,660,660.0,453.0,2.0,1348,6,NAmes,TA,TA,TA,RFn,Attchd,WD,155000.0
129,48,15,1991,1958,6,1,1053,1008.0,750.0,2.0,1053,5,NAmes,TA,TA,Ex,RFn,2Types,WD,150000.0
130,40,40,1966,1966,8,2,1216,924.0,487.0,2.0,2157,7,NAmes,TA,Ex,Gd,Fin,Attchd,WD,226000.0
131,9,9,2000,2000,7,2,1022,992.0,390.0,2.0,2054,6,Gilbert,Gd,Ex,Gd,RFn,BuiltIn,WD,244000.0
132,48,5,2002,1959,7,1,1327,1063.0,624.0,2.0,1327,5,NAmes,TA,Gd,Gd,Unf,Detchd,WD,150750.0
133,8,7,2002,2001,6,2,1296,1267.0,471.0,2.0,1296,8,Timber,Ex,Ex,Gd,Fin,Attchd,WD,220000.0
134,38,13,1993,1968,7,2,1721,1461.0,440.0,2.0,1721,5,Sawyer,TA,Gd,TA,RFn,Attchd,WD,180000.0
135,38,38,1970,1970,7,2,1682,1304.0,530.0,2.0,1682,7,NWAmes,TA,Gd,TA,Unf,Attchd,WD,174000.0
136,40,40,1967,1967,5,2,1214,1214.0,318.0,1.0,1214,5,NAmes,TA,TA,TA,RFn,Attchd,WD,143000.0
137,18,17,1989,1988,9,3,1959,1907.0,766.0,3.0,1959,7,Mitchel,TA,Gd,TA,Unf,2Types,WD,171000.0
138,9,8,2000,1999,7,2,1004,1004.0,660.0,3.0,1852,8,CollgCr,Gd,Ex,Gd,Fin,Attchd,WD,230000.0
139,12,12,1997,1997,7,2,928,928.0,470.0,2.0,1764,6,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,231500.0
140,39,39,1971,1971,5,1,864,864.0,0.0,0.0,864,4,NAmes,TA,TA,TA,Unf,Unbuilt,ConLI,115000.0
141,1,1,2005,2005,7,2,1734,1734.0,660.0,2.0,1734,7,CollgCr,Gd,Ex,Gd,Fin,Attchd,WD,260000.0
142,58,58,1952,1952,6,2,910,910.0,720.0,2.0,1385,5,NAmes,TA,Fa,TA,Unf,Detchd,WD,166000.0
143,10,10,1999,1999,6,2,1501,1490.0,577.0,2.0,1501,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,204000.0
144,43,43,1963,1963,10,2,1728,1728.0,504.0,2.0,1728,5,Sawyer,TA,TA,TA,Unf,Detchd,ConLI,125000.0
145,2,0,2006,2004,7,2,970,970.0,380.0,2.0,1709,6,Edwards,Gd,Ex,Gd,Unf,Detchd,WD,130000.0
146,78,16,1993,1931,5,1,875,715.0,180.0,1.0,875,5,BrkSide,TA,TA,TA,Unf,Detchd,WD,105000.0
147,9,9,2001,2001,8,2,884,884.0,434.0,2.0,2035,7,Gilbert,Gd,Ex,Gd,Fin,BuiltIn,WD,222500.0
148,4,3,2005,2004,6,1,1080,1080.0,0.0,0.0,1080,7,SawyerW,Gd,Ex,Gd,Unf,Unbuilt,WD,141000.0
149,70,56,1950,1936,7,1,896,896.0,240.0,1.0,1344,5,BrkSide,Gd,Gd,TA,Unf,Detchd,WD,115000.0
150,32,32,1975,1975,5,1,969,969.0,440.0,2.0,969,5,CollgCr,TA,TA,TA,Unf,Attchd,WD,122000.0
151,1,0,2008,2007,6,2,1710,1710.0,866.0,3.0,1710,8,NridgHt,Ex,Ex,Gd,RFn,Attchd,New,372402.0
152,35,35,1971,1971,8,2,1097,825.0,495.0,2.0,1993,6,NWAmes,TA,Gd,TA,RFn,Attchd,WD,190000.0
153,48,33,1975,1960,4,1,1252,1602.0,564.0,2.0,1252,6,ClearCr,Gd,Gd,TA,RFn,Attchd,WD,235000.0
154,83,56,1950,1923,7,1,1200,1200.0,312.0,1.0,1200,6,OldTown,TA,TA,TA,Unf,Detchd,WD,125000.0
155,84,58,1950,1924,5,1,572,572.0,0.0,0.0,1096,6,Edwards,TA,Fa,TA,Unf,Unbuilt,WD,79000.0
156,56,56,1950,1950,5,1,1040,0.0,625.0,2.0,1040,5,NAmes,None,TA,TA,Unf,Detchd,WD,109500.0
157,1,0,2010,2009,8,2,774,774.0,680.0,3.0,1968,8,Timber,Ex,Ex,Ex,Fin,BuiltIn,New,269500.0
158,6,5,2005,2004,8,2,991,991.0,678.0,2.0,1947,7,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,254900.0
159,1,0,2006,2005,9,2,1392,1392.0,576.0,2.0,2462,7,Gilbert,Gd,Ex,Gd,RFn,Attchd,New,320000.0
160,24,24,1984,1984,6,2,1232,1232.0,516.0,2.0,1232,6,Veenker,Gd,TA,TA,Unf,Attchd,WD,162500.0
161,5,4,2004,2003,10,2,1572,1572.0,726.0,3.0,2668,9,NridgHt,Ex,Ex,Ex,Fin,BuiltIn,WD,412500.0
162,5,5,2005,2005,7,2,1541,1541.0,532.0,2.0,1541,7,NridgHt,Gd,Ex,Gd,RFn,Attchd,New,220000.0
163,51,51,1956,1956,4,1,882,882.0,0.0,0.0,882,4,OldTown,TA,Ex,TA,Unf,Unbuilt,WD,103200.0
164,81,3,2004,1926,5,2,1149,1149.0,216.0,1.0,1616,6,OldTown,TA,Gd,Gd,Unf,Detchd,WD,152000.0
165,68,9,1999,1940,6,2,808,644.0,0.0,0.0,1355,5,Edwards,TA,Gd,TA,Unf,Unbuilt,WD,127500.0
166,54,16,1993,1955,7,1,1867,1617.0,303.0,1.0,1867,5,ClearCr,TA,Ex,TA,Fin,Attchd,COD,190000.0
167,0,0,2007,2007,8,1,1610,1582.0,789.0,3.0,2161,8,NridgHt,Ex,Ex,Ex,Fin,Attchd,New,325624.0
168,3,3,2004,2004,7,2,840,840.0,440.0,2.0,1720,7,Gilbert,Gd,Ex,Gd,Fin,Attchd,WD,183500.0
169,25,25,1981,1981,6,2,1707,1686.0,511.0,2.0,1707,8,Timber,Gd,TA,TA,RFn,Attchd,WD,228000.0
170,66,57,1950,1941,7,1,854,720.0,660.0,2.0,854,5,OldTown,TA,TA,TA,Unf,Detchd,WD,128500.0
171,50,50,1960,1960,7,1,1656,1080.0,528.0,2.0,1656,6,NAmes,TA,Fa,TA,Fin,Attchd,WD,215000.0
172,19,19,1987,1987,5,2,1064,1064.0,504.0,2.0,1767,7,StoneBr,Gd,Gd,Gd,RFn,Attchd,WD,239000.0
173,47,47,1961,1961,6,1,1362,1362.0,504.0,2.0,1362,6,NAmes,TA,TA,TA,Unf,Attchd,COD,163000.0
174,22,22,1986,1986,7,2,1651,1606.0,616.0,2.0,1651,6,Timber,Gd,TA,TA,Fin,Attchd,WD,184000.0
175,57,6,2001,1950,7,2,2158,1202.0,576.0,2.0,2158,6,Edwards,TA,TA,Gd,Unf,Attchd,WD,243000.0
176,19,18,1989,1988,8,2,1164,1151.0,521.0,2.0,2060,6,ClearCr,Gd,TA,TA,Unf,Attchd,WD,211000.0
177,48,48,1958,1958,8,2,1252,1052.0,451.0,2.0,1920,5,Sawyer,TA,Ex,Gd,Unf,Attchd,WD,172500.0
178,1,0,2009,2008,9,2,2234,2216.0,1166.0,3.0,2234,9,StoneBr,Ex,Ex,Ex,Fin,Attchd,New,501837.0
179,84,1,2006,1923,5,1,968,968.0,480.0,2.0,968,5,OldTown,TA,TA,TA,Unf,Detchd,WD,100000.0
180,7,7,2000,2000,5,2,769,756.0,440.0,2.0,1525,6,Somerst,Gd,Ex,Gd,Unf,Detchd,WD,177000.0
181,86,56,1950,1920,9,1,901,793.0,216.0,1.0,1802,7,Crawfor,Fa,Gd,TA,Unf,Detchd,WD,200100.0
182,50,1,2006,1957,7,1,1340,0.0,252.0,1.0,1340,5,Edwards,None,Ex,TA,RFn,Attchd,WD,120000.0
183,5,5,2003,2003,6,2,1362,1362.0,484.0,2.0,2082,7,OldTown,Gd,Ex,Gd,Unf,Detchd,WD,200000.0
184,98,15,1991,1908,5,1,936,504.0,576.0,2.0,1252,5,BrkSide,Fa,Gd,TA,Unf,Attchd,WD,127000.0
185,114,13,1993,1892,12,2,1518,1107.0,840.0,3.0,3036,10,OldTown,TA,Ex,Ex,Unf,Detchd,WD,475000.0
186,19,18,1991,1990,6,2,1217,1188.0,497.0,2.0,1217,7,Mitchel,Gd,Ex,Gd,Unf,Attchd,WD,173000.0
187,93,22,1987,1916,8,2,808,660.0,180.0,1.0,1512,5,OldTown,Fa,Ex,TA,Unf,Detchd,WD,135000.0
188,30,30,1979,1979,6,0,1224,1086.0,528.0,2.0,1224,5,SawyerW,Gd,TA,TA,Unf,Detchd,WD,153337.0
189,7,6,2002,2001,5,1,1593,1593.0,682.0,2.0,1593,8,StoneBr,Ex,Ex,Ex,Fin,Attchd,WD,286000.0
190,75,13,1994,1932,10,2,1549,853.0,440.0,2.0,2727,8,Crawfor,Gd,TA,Gd,Unf,Detchd,WD,315000.0
191,35,3,2004,1972,7,1,725,725.0,484.0,2.0,1479,7,NAmes,TA,Gd,Gd,Fin,Attchd,WD,184000.0
192,10,10,1999,1999,6,2,1431,1431.0,666.0,2.0,1431,7,CollgCr,Gd,Ex,Gd,Fin,Attchd,WD,192000.0
193,2,2,2004,2004,7,2,970,970.0,380.0,2.0,1709,7,Edwards,Gd,Ex,Gd,Unf,Detchd,WD,130000.0
194,36,36,1972,1972,5,1,864,864.0,352.0,1.0,864,5,CollgCr,TA,TA,TA,Unf,Detchd,WD,127000.0
195,33,33,1976,1976,7,2,855,855.0,440.0,2.0,1456,6,NPkVill,Gd,TA,TA,Unf,Attchd,WD,148500.0
196,0,0,2007,2007,8,2,1726,1726.0,786.0,3.0,1726,7,Somerst,Ex,Ex,Ex,Fin,Attchd,New,311872.0
